<S> w a n d e r e,wandered
<S> p o c k e,pockets
<S> s e v e,several
<S> k,knows
<S> c,class
<S> a l m o,almost
<S> c,crowd
<S> g,game
<S> t h r o u g,through
<S> a n s w,answered
<S> s c,screamed
<S> h o w,however
<S> g i v e,given
<S> h e r m i o n,hermione's
<S> w o r r,worried
<S> t h i r t e e n,thirteenandahalf
<S> h o g w a,hogwarts
<S> d r a c,draco
<S> b r a n,branches
<S> t,try
<S> c,ceiling
<S> a l,already
<S> p,passageway
<S> o f,off
<S> f,few
<S> g e,get
<S> s,she
<S> d,draco
<S> s o m,some
<S> c e n t a u,centaur
<S> l i v,live
<S> r,repeated
<S> i s n,isn't
<S> i,i'm
<S> e x p,explain
<S> t h e y,they'd
<S> n,now
<S> a s l,asleep
<S> o u,our
<S> e x a c t l,exactly
<S> c a l,called
<S> s h,shoulder
<S> f l e,flew
<S> l o n,long
<S> p o t t e r ',potter's
<S> m,miss
<S> f l a,flamel
<S> s m e l t i n,smelting
<S> t a,talk
<S> t h r e e h e a d e,threeheaded
<S> p o t t e,potter
<S> w e a,weasleys
<S> b,busy
<S> b a l l,balls
<S> m a g,magic
<S> s,side
<S> b e s,best
<S> r,ronan
<S> w h i,while
<S> h a p p,happen
<S> g r i p h,griphook
<S> h e,here
<S> p e r,person
<S> s i,silence
<S> r e m i n d,reminded
<S> c r,crate
<S> s t,stand
<S> t w e l,twelve
<S> g,go
<S> w,where's
<S> b r e a,breath
<S> r,rolled
<S> s i,side
<S> h,his
<S> s i g h,sighed
<S> d e l i g h t,delighted
<S> a d d,added
<S> s,shadows
<S> s u r,surprised
<S> p i e c,pieces
<S> h e a d l,headless
<S> s i n,single
<S> t h i,think
<S> w,why
<S> s h,shouted
<S> p u,put
<S> t o a,toad
<S> w a r n e,warned
<S> s m a l,small
<S> e,eleven
<S> s h,she
<S> c r,cross
<S> g,gold
<S> d e c i,decided
<S> f,flying
<S> r u b b,rubbish
<S> s u g g e,suggested
<S> s e c o,second
<S> s,sorting
<S> b r o o m s t,broomstick
<S> h u r r y,hurrying
<S> c u p b o,cupboard
<S> h,hard
<S> w i z a,wizards
<S> e,else
<S> h a n d l,handle
<S> s h,shall
<S> j o r,jordan
<S> c a u l d r o n,cauldrons
<S> n e r,nervous
<S> d u r s,dursley
<S> h a g r,hagrid
<S> c o u l,could
<S> i n c h e,inches
<S> t h e m,themselves
<S> t,tell
<S> l,listening
<S> a l r,already
<S> w o,woke
<S> e i t h,either
<S> p r e f,prefect
<S> b,beard
<S> e,enchantments
<S> q u e s t i o,question
<S> s m,smile
<S> s n a p p,snapped
<S> t h i r d f,thirdfloor
<S> a r o u n,around
<S> o,or
<S> y,yer
<S> t h r o,throwing
<S> s h u,shut
<S> p o w e r f,powerful
<S> s h o c k,shocked
<S> c o,come
<S> p o,potions
<S> s,somethin'
<S> g,goes
<S> s t u d y i,studying
<S> s e e,seen
<S> l,let
<S> c h e e r,cheerfully
<S> s p e c t a c l,spectacles
<S> d i f f e r e n,difference
<S> f i,fire
<S> s h,shrieked
<S> h i,hissed
<S> b,burst
<S> s,step
<S> m e n t i,mention
<S> s o,sorry
<S> r a v e n,ravenclaw
<S> c o,couldn't
<S> c l u t c h i n,clutching
<S> h a g r i,hagrid
<S> m,man
<S> s,spoke
<S> w,weren't
<S> e n t,entrance
<S> m i n u t,minutes
<S> k i t c,kitchen
<S> o,of
<S> s t u d y i n,studying
<S> c a,case
<S> t h i,third
<S> o,open
<S> a b o v,above
<S> l a s,last
<S> e n t e r,entered
<S> b e,bed
<S> a r r i v e,arrived
<S> f u r i o u,furiously
<S> f,find
<S> c o m p a r,compartment
<S> u n,under
<S> t o n i g h,tonight
<S> m i n u t e,minutes
<S> h,hardly
<S> p e r s,person
<S> b,brother
<S> w o,world
<S> w o k,woke
<S> b e a u t i,beautiful
<S> t r i,tried
<S> j,jumped
<S> p o t,potions
<S> i,its
<S> f o l,following
<S> m o t h e,mother
<S> t u r n i,turning
<S> t h o u g h,thought
<S> m e n t i o,mention
<S> k e,keeper
<S> n e v,neville's
<S> w o o,wood
<S> l,look
<S> g e,get
<S> f a,famous
<S> e x,excuse
<S> d i f f i c u l,difficult
<S> m a y,maybe
<S> s t a n,standing
<S> c,centaur
<S> h e r,here
<S> c,clutching
<S> f i g h t i n,fighting
<S> b e g,began
<S> g o,gold
<S> d,different
<S> t e r r i f,terrified
<S> d e a f e,deafening
<S> w a,wandering
<S> k n o c k e,knocked
<S> p u l l i n,pulling
<S> h a n,handed
<S> w,won't
<S> i n t e r f e r,interfering
<S> f r a n t i,frantically
<S> f e,feeling
<S> w o u,wouldn't
<S> w o r,words
<S> m i n,mind
<S> f,fighting
<S> s p e l,spells
<S> w a l,walking
<S> b e e,been
<S> i n v i,invisible
<S> w i,window
<S> w o r r,worry
<S> d,dragons
<S> b r o o m s t i,broomstick
<S> b o o,book
<S> b a,back
<S> r,realize
<S> a,and
<S> h u f f l e p,hufflepuff
<S> d a r,dark
<S> p o i n,points
<S> p l,platforms
<S> r,racing
<S> l o,lot
<S> h e,heart
<S> w h,where's
<S> s,sudden
<S> h,hooch
<S> w a v,waved
<S> c a,came
<S> r i,right
<S> c o,cold
<S> d r o p p,dropped
<S> g r o,growled
<S> o p p o s,opposite
<S> m o,mom
<S> f o,forest
<S> w o r,world
<S> w,what's
<S> d i a g,diagon
<S> c,clearly
<S> s n a p e ',snape's
<S> e,end
<S> p u t,putting
<S> e v e r,every
<S> f e e,feet
<S> t r i e,tried
<S> s o,somethin'
<S> m,more
<S> n o s t r i,nostrils
<S> h,hat
<S> r e m e m b e r,remembers
<S> l e a v,leaving
<S> v o l d e m o,voldemort
<S> b,best
<S> a l l o w e,allowed
<S> f i e,field
<S> s h o c k e,shocked
<S> w e,we've
<S> c l a p p,clapping
<S> g r,granger
<S> i,it
<S> t,telling
<S> e n,end
<S> f,far
<S> p u t t,putting
<S> m a l f o,malfoy's
<S> a m,amazement
<S> y o u n g,youngest
<S> w o n d e r i,wondering
<S> b u,but
<S> w a t,watch
<S> h o,house
<S> y e a,yeah
<S> m,managed
<S> e x c e p,except
<S> g h o s,ghost
<S> p a r c,parcel
<S> s h e ',she's
<S> c,changed
<S> g r o w,growled
<S> c,counted
<S> f e e,feeling
<S> i,if
<S> b u,busy
<S> a,ask
<S> t,them
<S> s h o u l d e,shoulders
<S> m,much
<S> p o i n t,pointed
<S> p o c k e t,pockets
<S> s e c r,secret
<S> s,street
<S> d u,dunno
<S> f r,from
<S> i n t e r f e r i,interfering
<S> l e,leaves
<S> t u,turn
<S> c r e a t u r e,creatures
<S> j u,jumped
<S> s u r p,surprised
<S> o,o'clock
<S> r o u,round
<S> k,knew
<S> f l,flushed
<S> p,passed
<S> a u n,aunt
<S> b o t,both
<S> d r,dragons
<S> n e r v,nervous
<S> l o u,loudly
<S> l,lot
<S> k,keep
<S> d o i,doing
<S> u n d e,underneath
<S> t h i,things
<S> c o m i,coming
<S> h,here
<S> a l m o s,almost
<S> e v e n i,evening
<S> w o u l,wouldn't
<S> f i n a,finally
<S> p e r s o,person
<S> p e,people
<S> h o l,hold
<S> w i z a,wizarding
<S> k i l l,killed
<S> n e i,neither
<S> c h a s,chasers
<S> u n i,unicorn
<S> v e r n o n ',vernon's
<S> t e,ter
<S> f,fer
<S> r a i s e,raised
<S> m e a,means
<S> m i d n i g,midnight
<S> b r o,brooms
<S> a s,ask
<S> s,scared
<S> s,strode
<S> c a m,came
<S> o t h e,other
<S> d o r m i t o,dormitory
<S> e x,expect
<S> c l a p p i,clapping
<S> a f t,after
<S> w h,who
<S> k n o w i n,knowing
<S> c h,changed
<S> s c h o o,school
<S> r o,ronan
<S> t h,they've
<S> h o,how
<S> h a l,halloween
<S> n,nose
<S> t,toward
<S> p l e a,please
<S> p a r c,parchment
<S> r e,realized
<S> f l u f,fluffy
<S> b o t t l,bottle
<S> t h i r d f l,thirdfloor
<S> m,move
<S> p i e c e,pieces
<S> h a v i n,having
<S> s t r e t c,stretched
<S> a n y t h i n,anything
<S> h e r m i o n e,hermione's
<S> r o,rolled
<S> b,between
<S> c l,clearly
<S> w h,why
<S> a,at
<S> s o,sorting
<S> t h o u g h t f u l l,thoughtfully
<S> m i,minute
<S> g o t,gotten
<S> c o m p a r t,compartment
<S> k i l l e,killed
<S> l o,look
<S> c l e,clearly
<S> u,use
<S> t,to
<S> t h i r t e e n a,thirteenandahalf
<S> w a i,waited
<S> c o m p a r t m,compartment
<S> s e c r e,secret
<S> h a,hand
<S> n,no
<S> b o,boy
<S> i,idea
<S> r,rest
<S> b,be
<S> n o,now
<S> g,ghost
<S> b,breathing
<S> r a,racing
<S> b e f,before
<S> q,question
<S> i n v i s i b i l i t,invisibility
<S> w,wizarding
<S> o,other
<S> b e w i l d,bewildered
<S> g r,grabbed
<S> y o,you
<S> p r e,pretend
<S> i n t e r e,interest
<S> f o r b,forbid
<S> n e,never
<S> a,aren't
<S> g h,ghost
<S> s w a,swallowed
<S> p l,place
<S> f a,far
<S> o v e,over
<S> l o,lot
<S> w,what's
<S> r o u n d,rounded
<S> s a,saw
<S> n e,neville
<S> w e,went
<S> m,malfoy
<S> h i s s e,hissed
<S> w i p i,wiping
<S> g,grabbed
<S> l e,let
<S> s t r a i,straight
<S> a,again
<S> t h,they're
<S> f l a v,flavor
<S> c o u r s,course
<S> r o o,room
<S> t h i,thinking
<S> e x p,exploded
<S> s m a,small
<S> u n d,under
<S> w i p i n,wiping
<S> n e r v o,nervous
<S> c l o,close
<S> v a n i s,vanished
<S> h i g,high
<S> i n t e r e s t,interesting
<S> s c r e a m i n,screaming
<S> s,said
<S> r,ronan
<S> w h,where
<S> d o n ',don't
<S> b,books
<S> m o n e,money
<S> f,fell
<S> i t ',it's
<S> u n d e r,underneath
<S> a n,anyone
<S> a,as
<S> b u s,business
<S> i,inches
<S> l,locker
<S> l o,low
<S> q u,question
<S> e l,else
<S> c,course
<S> s i d e,sideways
<S> y o u r s e l,yourselves
<S> r o u n d e,rounded
<S> t h i r t e e,thirteen
<S> m,mother
<S> c,can
<S> t r,try
<S> l,listen
<S> n e r v o u,nervous
<S> m u,must
<S> m o,moment
<S> h a l l,halloween
<S> d e,dead
<S> c o u,couldn't
<S> p e o,people
<S> c o,counted
<S> h o l,hold
<S> g,gone
<S> g o,goodbye
<S> s e,severus
<S> t w e l v,twelve
<S> t,two
<S> e v e,even
<S> m o m,moment
<S> c l o s,close
<S> t,threw
<S> d,dark
<S> c a l,call
<S> s u,sudden
<S> s n a p p e,snapped
<S> c l,clearing
<S> c a,can
<S> h a,haven't
<S> c r a,crate
<S> o l,old
<S> b e c a,became
<S> w e a s,weasleys
<S> r i d g e b,ridgeback
<S> l o,locker
<S> m,muttered
<S> s i n c,since
<S> h,howling
<S> b,believe
<S> s i g h,sight
<S> r,red
<S> m u,much
<S> h o u,house
<S> p e r,perhaps
<S> p a i,pain
<S> p r o m i s e,promised
<S> c r a t,crate
<S> t,threeheaded
<S> h,hagrid's
<S> t,thoughtfully
<S> d i f f e r e n c,difference
<S> y,yeah
<S> m,mom
<S> s t,stood
<S> y,yelled
<S> t,these
<S> r,ron
<S> s w e a t e,sweater
<S> d e l i g h t e,delighted
<S> t h,threequarters
<S> a,are
<S> p o w e r f u,powerful
<S> o,our
<S> t,thousand
<S> i,in
<S> g i,giant
<S> w i n,wingardium
<S> m o,move
<S> h e a,heads
<S> g l i d i n,gliding
<S> s t a,stand
<S> f l,flying
<S> i ',i'd
<S> d a n g,dangerous
<S> l o,loud
<S> h e a,head
<S> c r o,cross
<S> c,chasers
<S> k n o,known
<S> t w,two
<S> g o y l,goyle
<S> a,any
<S> s t o n,stone's
<S> y o u,your
<S> s u g g e s,suggested
<S> m o,more
<S> s m e l,smell
<S> y o u r,yours
<S> h u r,hurry
<S> c a r r i,carried
<S> y,yours
<S> t h,threw
<S> f l o,floor
<S> s h,shadows
<S> s,school
<S> c,came
<S> i n,inches
<S> m o u t,mouth
<S> p e,peeves
<S> s t a r,started
<S> d,drive
<S> r,robes
<S> d,difference
<S> w,whole
<S> p,pulling
<S> p,potter's
<S> n u m,number
<S> h a r r y,harry's
<S> s n i t c,snitch
<S> t h e,they're
<S> c a r e f u,carefully
<S> t h o s,those
<S> n o t h i n,nothin'
<S> w o,wonder
<S> a,agreed
<S> p r e t,pretend
<S> r o,ron
<S> h a,harry
<S> n e e,need
<S> h i d i,hiding
<S> p i c,picked
<S> s o r,sorry
<S> s u r p r,surprised
<S> w a l k e,walked
<S> d e l i c i o,delicious
<S> p r o b a b l,probably
<S> t h,them
<S> i ',i'm
<S> b a c,back
<S> b u s,busy
<S> f,for
<S> f i n d i n,finding
<S> t,told
<S> s,studying
<S> b r i,brilliant
<S> y e,yeah
<S> e v e n i n,evening
<S> c r i,cried
<S> s t o,storm
<S> s,snitch
<S> s,sit
<S> v o l d e,voldemort's
<S> a t t e n t,attention
<S> w i n,window
<S> m,my
<S> o,our
<S> e n v e,envelope
<S> t a k i n,taking
<S> p o i n t,points
<S> m,mouth
<S> c a,cart
<S> o n t,onto
<S> a,aunt
<S> h,hear
<S> h o,holding
<S> c l a p p i n,clapping
<S> e,every
<S> l o s,lost
<S> w o r l,world
<S> d,during
<S> c,cauldrons
<S> h,hissed
<S> a g,agreed
<S> s h,sharp
<S> w,warning
<S> t o m o r r o,tomorrow
<S> w,week
<S> w h a t e v e,whatever
<S> o p p o s i,opposite
<S> t h,these
<S> b r i l,brilliant
<S> w i,wizarding
<S> r o,ronan
<S> y o,your
<S> e,end
<S> b,book
<S> f o r,forest
<S> m i d n i g h,midnight
<S> s u d,sudden
<S> m u g g,muggle
<S> h i,hissed
<S> w o n d e r f,wonderful
<S> f o l l,following
<S> p,pile
<S> m a t,matter
<S> c a,cauldrons
<S> o u,out
<S> y e,yelled
<S> v e r n o,vernon
<S> v e r,very
<S> d a,day
<S> h o l,holding
<S> n e v,neville
<S> l o,lookin'
<S> w i t h,without
<S> e v,evening
<S> t,terrible
<S> t a k,take
<S> g r a n d m o t h,grandmother
<S> w a,warned
<S> h u r r,hurry
<S> t h i r d f l o,thirdfloor
<S> s i n g,single
<S> w o,work
<S> h e r b o,herbology
<S> p,players
<S> t e e,teeth
<S> p,play
<S> g r a t e f,grateful
<S> k e y,keys
<S> s t o p p,stopped
<S> t o,touched
<S> p l,players
<S> h a,hagrid's
<S> c l,class
<S> t,three
<S> y e,yeh
<S> p,pain
<S> q u i,quirrell's
<S> n o t,note
<S> f o r e h e,forehead
<S> s u d d,sudden
<S> g o,goes
<S> b r e a k i n,breaking
<S> d,difficult
<S> c o m p a r t m e,compartment
<S> n e a,nearly
<S> b r i l l,brilliant
<S> s o m,some
<S> m,mr
<S> t o g e t,together
<S> s h o w i,showing
<S> t e,telling
<S> g r a,granger
<S> s a,saying
<S> y o,yours
<S> m a t t,matter
<S> s e i z e,seized
<S> s t r e t c h,stretched
<S> s u r p r i,surprised
<S> s n,snitch
<S> g o,got
<S> d r a g,dragon
<S> w i t,with
<S> m e,meanwhile
<S> f r,friend
<S> s,snape
<S> g r o u n,ground
<S> e,exactly
<S> c e r t a i n l,certainly
<S> w a,was
<S> s o r,sorting
<S> i d,idea
<S> p o c k,pocket
<S> t h,the
<S> f a,fang
<S> h a v,have
<S> d u n,dunno
<S> s a t u,saturday
<S> o,or
<S> s u g g e s t,suggested
<S> l e t,let's
<S> t h,there
<S> p,probably
<S> b e f o,before
<S> m u g g l,muggle
<S> n,nervous
<S> p a r c h,parchment
<S> c o,course
<S> t h i n,things
<S> m,mean
<S> s t,steal
<S> e v e,ever
<S> g r i p h o,griphook
<S> i,is
<S> g r a n,granger
<S> w o r r i,worried
<S> w e,weasley
<S> p a r c e,parcel
<S> p r e s,pressed
<S> h,hermione
<S> g e t t i n,gettin'
<S> t r,trapdoor
<S> s a,same
<S> c l e,clearing
<S> o b v i o,obviously
<S> t e r r i f i,terrified
<S> s i l,silence
<S> c h a n g,change
<S> d o n,done
<S> m o,mouth
<S> a n s w,answer
<S> t,try
<S> u n t,until
<S> r e m e,remember
<S> e,eight
<S> c u p b o a,cupboard
<S> h e,he'll
<S> c,corner
<S> s,sight
<S> c h a,chamber
<S> i,invisibility
<S> k e,keep
<S> t,thought
<S> g r y f f i n d,gryffindors
<S> g o,gone
<S> s u g g e s t e,suggested
<S> u n w,unwrapped
<S> g o e,goes
<S> b l a c,blackhaired
<S> k n,knew
<S> i n t e r e,interested
<S> w e r e w o l,werewolf
<S> d o r m i t o r,dormitory
<S> h e r m i o n e ',hermione's
<S> w a,way
<S> i,it
<S> d i r e c t,direction
<S> m o,moved
<S> c r,crowd
<S> s e,seemed
<S> s p o t,spotted
<S> n,now
<S> f l,flint
<S> s a u s,sausages
<S> b,bright
<S> u n i c,unicorn
<S> n e,new
<S> q u,quiet
<S> g o n,gone
<S> b e a u t i f,beautiful
<S> i,irritably
<S> t h i n g,things
<S> r e m i n d e,reminded
<S> a l,alone
<S> s,shook
<S> b e g a,began
<S> t h i n,think
<S> f r o g,frogs
<S> s,staircase
<S> s c,school
<S> i m p o,important
<S> h a n,hanging
<S> s,she's
<S> a b l,able
<S> s,safe
<S> s t a r,stared
<S> k i,killed
<S> t,tried
<S> a n s w e,answered
<S> n u m b,number
<S> c,call
<S> g r e,great
<S> p i n,pink
<S> t h,thousand
<S> i,is
<S> b r a n c,branches
<S> h u,huge
<S> p o i n t,pointing
<S> h u,hurt
<S> c o m,computer
<S> w h i l,while
<S> s t i l,still
<S> u n c l,uncle
<S> s a m,same
<S> i r,irritably
<S> h e l p,helped
<S> o,off
<S> b,bludgers
<S> e v,everything
<S> w i t h o,without
<S> b r,brother
<S> d r a g o,dragon
<S> a r r i v,arrived
<S> g,go
<S> f,flitwick
<S> m o,mother
<S> d u r s l,dursleys
<S> s t e,steal
<S> g u a,guarding
<S> a n,an'
<S> r o l,rolled
<S> g i a,giant
<S> f o o,footsteps
<S> c,crabbe
<S> h u g,huge
<S> h o w e,however
<S> d r a,dragons
<S> a f t e,after
<S> i,it
<S> s t,strode
<S> u s u,usual
<S> f,filch
<S> h e a d,heads
<S> w,werewolf
<S> i n t e r e s,interested
<S> y o u ' l,you'll
<S> a n o t,another
<S> w,when
<S> p u t t i,putting
<S> c h a m,chamber
<S> f i n,fingers
<S> p a,panted
<S> n o,norbert
<S> f o u,four
<S> e,ever
<S> r u b b i,rubbish
<S> c,can
<S> t h a,that
<S> f,four
<S> e n,enchantments
<S> h a r,harder
<S> t r,trust
<S> w o n d e r i n,wondering
<S> c h r i s,christmas
<S> e v,every
<S> f,flew
<S> s t o,stop
<S> h e,hermione
<S> u n d e,under
<S> n e r v o u s l,nervously
<S> c i r c u m s t a,circumstances
<S> s h,she's
<S> t h i n,thinking
<S> p o i n t i,pointing
<S> s a t u r,saturday
<S> q u i r,quirrell's
<S> f e e l,feeling
<S> l,live
<S> g h o,ghost
<S> k,knowing
<S> s w a l,swallowed
<S> e l,eleven
<S> g,gone
<S> t e,ten
<S> s,so
<S> r e a s o,reason
<S> v,vernon
<S> g e t t i n,getting
<S> r e,realize
<S> o,others
<S> t r a,trapdoor
<S> e l s,else
<S> c,could
<S> y,you
<S> d i,difference
<S> f e,fell
<S> h,how
<S> h o,hooch
<S> w i,will
<S> l u r k i n,lurking
<S> g l a s s,glasses
<S> s,stop
<S> s h o u l d e r,shoulders
<S> t h,thought
<S> g r e a,great
<S> d,delighted
<S> l o u d,loudly
<S> w h e,where
<S> r o n,ronan
<S> b,breaking
<S> w i,wished
<S> i ',i'm
<S> b u,burst
<S> a m a,amazement
<S> p e r h,perhaps
<S> w i z,wizarding
<S> t h e r e,there's
<S> i,inside
<S> m,mind
<S> e,else
<S> s,supposed
<S> h a,hard
<S> s p e c i a,special
<S> l o c,locker
<S> c r o,crowd
<S> h a s n ',hasn't
<S> w h a,what
<S> y e h ' v,yeh've
<S> s,such
<S> c h e s s m e,chessmen
<S> w e r,were
<S> f i n i s h e,finished
<S> a r,aren't
<S> w,wood
<S> l i,listen
<S> d e c i d,decided
<S> s a,safe
<S> s,suggested
<S> c l i,climbed
<S> l i,live
<S> g h o s,ghost
<S> a r m,arms
<S> a,above
<S> s t a r t o,startofterm
<S> b l,bloody
<S> p u t t i n,putting
<S> b r o t h e r,brothers
<S> o,old
<S> g r y f,gryffindor
<S> c,crabbe
<S> s t,staircase
<S> b l o,bloody
<S> w h,what's
<S> r u b b i s,rubbish
<S> b r e a k,breakfast
<S> s i n g l,single
<S> c,can't
<S> p,pushed
<S> a p,appeared
<S> r a,ran
<S> m o v,moved
<S> b e i n,being
<S> i m m e d i a t e l,immediately
<S> c l e a,clearly
<S> s,stay
<S> c a,came
<S> y e a,yeah
<S> p a i,pair
<S> s o u n d,sounded
<S> f o r g e,forget
<S> s m a l,small
<S> w e,well
<S> s o m,somethin'
<S> h a,hardly
<S> s n i,snitch
<S> t h,thoughtfully
<S> w h i,white
<S> f o l l o w,followed
<S> s m i l,smiled
<S> b,back
<S> e x p e l l,expelled
<S> n o,nose
<S> t,twelve
<S> w,waiting
<S> b r o o m s t i c,broomstick
<S> i,i'd
<S> w e l,well
<S> s h o,shoulder
<S> g r e,green
<S> g o l,gold
<S> a m a z,amazement
<S> b e f o r,before
<S> c a s t l,castle
<S> s o m,somewhere
<S> a g r,agreed
<S> t,troll
<S> q u i,quiet
<S> e n t e r e,entered
<S> d a n g e,dangerous
<S> t r a i,train
<S> f l a m,flamel
<S> m,mr
<S> c a s,case
<S> b a t h r o b,bathrobe
<S> b,before
<S> s i,sit
<S> a l,alley
<S> m,my
<S> y,youknowwho
<S> c h a m b,chamber
<S> o,one
<S> y o u ' v,you've
<S> s e,see
<S> b r e a t,breath
<S> a s l e e,asleep
<S> a g a i n,against
<S> s e e k e,seekers
<S> b,by
<S> i r r,irritably
<S> b,bellowed
<S> d e s p e r a t e,desperately
<S> t h i r t e e n a n,thirteenandahalf
<S> h e,here
<S> b,breath
<S> q u i,quietly
<S> w,whatever
<S> y,yeh
<S> h a,hat
<S> f a n,fang
<S> n,no
<S> f o,four
<S> y o u,yours
<S> i t,its
<S> w a,wanted
<S> o b v i o u,obviously
<S> s e r i,serious
<S> y o u ',you'd
<S> s t o r,storm
<S> b r o,brothers
<S> h a,hands
<S> b,bed
<S> m,money
<S> r o u n,round
<S> f i v,five
<S> s m e l t i,smelting
<S> n e,nervous
<S> t h i n k,thinking
<S> s p e e d i,speeding
<S> m,money
<S> t w i n,twins
<S> n o r,norbert
<S> i m p o r,important
<S> p e t u,petunia
<S> s l y t h,slytherin
<S> o b v i o u s,obviously
<S> n o s,nose
<S> e,each
<S> t h e,there
<S> h i,his
<S> n e i t,neither
<S> s,seen
<S> a l m o s,almost
<S> s t a r e,stared
<S> t,train
<S> o w,owl
<S> t h r,threequarters
<S> h i d,hidden
<S> f,feet
<S> d r,draco
<S> s e r i o,serious
<S> p,pomfrey
<S> w i z a r,wizard
<S> l e,learn
<S> l,listen
<S> c h e,cheerfully
<S> w,was
<S> k n o w,known
<S> s p e l l,spells
<S> r e a,realize
<S> h u r r y i,hurrying
<S> j o,joined
<S> d e a,dead
<S> d i,did
<S> w e,werewolf
<S> c h u c k l e,chuckled
<S> f,first
<S> h,he'd
<S> h,he
<S> a r e,aren't
<S> h,head
<S> s e e k e r,seekers
<S> m i n,minute
<S> m i,mirror
<S> l o o,look
<S> m,mention
<S> s a t u r d,saturday
<S> g r i p h o o,griphook
<S> v o i,voice
<S> s o,some
<S> m i r,mirror
<S> s t r a,strange
<S> t h i r d f l o o,thirdfloor
<S> p a c,package
<S> g r i p h o o,griphook
<S> h e,head
<S> h i d i n,hiding
<S> p o i n t i n,pointing
<S> a,around
<S> w,were
<S> w o u l d,wouldn't
<S> c h a,changed
<S> v,vernon's
<S> f,free
<S> c o r,corner
<S> a g r e,agreed
<S> y,year
<S> c h r i s t,christmas
<S> t e r r i f i e,terrified
<S> l o n d,london
<S> p l e a s,please
<S> v o l d e m o r,voldemort
<S> h e r,hermione
<S> o f,off
<S> h,have
<S> b e,bed
<S> i n t e r e s t i,interesting
<S> t h e y,they're
<S> l i,little
<S> p,potter
<S> o,owl
<S> t h e y ',they're
<S> b r a n c h,branches
<S> c,clapping
<S> b r o u g h,brought
<S> s o r,sort
<S> p a r e n t,parents
<S> b e,bellowed
<S> i n t,into
<S> t a l k i,talking
<S> w a l k,walking
<S> e x,exams
<S> i,i'm
<S> r,ran
<S> c l i m,climbed
<S> w i t h o u,without
<S> a n y w,anyway
<S> c,case
<S> a h,ahead
<S> m u g g,muggles
<S> k n o c,knocking
<S> l u,lucky
<S> a r,around
<S> h a,half
<S> t a k,taken
<S> g a,game
<S> y,yeah
<S> w,we
<S> n,nice
<S> p o m,pomfrey
<S> d a,dark
<S> c a r,cart
<S> w o,wood
<S> b r o o m s,broomsticks
<S> h o s p i t,hospital
<S> m a,many
<S> a b,above
<S> e,except
<S> m o,money
<S> g,goyle
<S> h o w e v,however
<S> h,hiding
<S> h e,hear
<S> h e r m,hermione
<S> w a s n,wasn't
<S> i ',i'd
<S> p r e s s,pressed
<S> m,mumbled
<S> s,sort
<S> r e,repeated
<S> n e r,nervous
<S> r i g,right
<S> d,dormitory
<S> w h e,where's
<S> s h a,shall
<S> s o m e t h i n,something's
<S> f i r,fire
<S> p,packed
<S> b r o,broom
<S> h a l,half
<S> h a r r y ',harry's
<S> s u,supposed
<S> a n y,anyone
<S> d,do
<S> f l y,flying
<S> p a s,past
<S> s l y t h e,slytherin
<S> n e v,never
<S> s h a,shadows
<S> t,that's
<S> w h i t,white
<S> b e h,behind
<S> w h i s p,whispered
<S> m c g o n a g,mcgonagall's
<S> w a i,wait
<S> s w,swung
<S> h,huge
<S> b r,breath
<S> s a y,saying
<S> f a t h,father's
<S> c o m,come
<S> t h e m s,themselves
<S> d e l i c i o u,delicious
<S> m a,malkin's
<S> m,might
<S> q u,quite
<S> t h,thundered
<S> s n,snarled
<S> t h e,they've
<S> p e e,peeves
<S> c o,constrictor
<S> n e v i,neville's
<S> e a s i l,easily
<S> c a,card
<S> p a r c e,parcel
<S> m e,mention
<S> s t r a n,strange
<S> e x p e l l e,expelled
<S> g r a t e f u,grateful
<S> w a,watched
<S> c o u,counted
<S> l,look
<S> o,or
<S> h e r b o l,herbology
<S> t w,twelve
<S> h o o,hooch
<S> c,crate
<S> f a m i l,family
<S> w a s n ',wasn't
<S> s t i l,still
<S> k n,knows
<S> g r a n g,granger
<S> i n c r e d i b,incredible
<S> w a l k i,walking
<S> c h a n,changed
<S> a b o,above
<S> n,nose
<S> g r y f f i n d o,gryffindors
<S> h e,held
<S> t h e y ' l,they'll
<S> f e,feet
<S> g r o u n d,grounds
<S> m o,mom
<S> a d d,addressed
<S> w o,worry
<S> g,ground
<S> f a m,famous
<S> s a y i,saying
<S> s h a,sharp
<S> n e,next
<S> m a k,make
<S> t w e,twelve
<S> i,its
<S> t o n i g,tonight
<S> f a t h e,father's
<S> p i,pile
<S> h e a d l e,headless
<S> w,which
<S> s,seized
<S> t,that
<S> h u f f l e p u,hufflepuff
<S> s e e m,seems
<S> f l,flitwick
<S> m r,mrs
<S> n o r b,norbert
<S> s t a n d,standing
<S> o p p o s i t,opposite
<S> n,need
<S> h,harry's
<S> f l i,flitwick
<S> o b v i o u s l,obviously
<S> q u i v e,quivering
<S> y,you've
<S> c r o w,crowd
<S> r a c,racing
<S> m a l f o y,malfoy's
<S> r,reminded
<S> k i l,kill
<S> m i s e r,miserably
<S> l o o k,looked
<S> b,been
<S> m i n u,minute
<S> t w e l,twelve
<S> d a n g e r,dangerous
<S> h,hasn't
<S> d o,does
<S> i m p r,impressed
<S> d u r,dursleys'
<S> p i c k,picked
<S> m a,man
<S> s h o w i n,showing
<S> g u a r,guarding
